%,2018,2019,2020
網路購買,0.84,0.857216475965523,0.89
藝文單位自售,0.09,0.08658510512341983,0.07
票口購買,0.04,0.038425009859446455,0.03
分銷點購買,0.03,0.01777340905161069,0.01
